Course_Id,Devry_Course_ID,Course_Class,Couse_Title,Course_Type,Course_Progress,Couse_Dis
18,222,ETC,Circuit Analysis Fundamentals,Major,Complete,"The course begins with DC and AC circuit fundamentals with analysis, simulation and measurement of passive components (resistors, capacitors, and inductors). Semiconductor-based devices, such as diodes and transistors, are then introduced, followed by more complex integrated circuits and related electronic components, such as sensors and transducers. Students gain proficiency in working with complete electronic systems."
19,232,ETHC,Ethics & Legal Issues in Professions,Core,Complete,"This course provides a framework for decision-making in professional practice. Ethical principles, social responsibility, legal and regulatory requirements, and professional codes of conduct are explored to help students develop a clear perspective and a sense of ownership for choices they make. General principles are applied using examples from professions in specific areas such as electronics and computer technology, network systems administration and health information technology."
20,236,CEIS,Fundamentals of Database Programming,Major,Complete,"This course explores universal aspects of database systems that are common across programming languages, operating systems, or application types. Systems reviewed range from personal device and desktop databases to large-scale, distributed database servers. Classic relational databases to modern data warehouses are presented. Topics covered are library creation, primary key selection, column identification, defining relationships, normalization, data indexing and storage, and query languages. Students code and execute programs and routines that create, insert, update, and delete data."
21,275,SPCH,Public Speaking,Core,Complete,"This course teaches basic elements of effective public speaking. Topics include audience analysis, organization, language, delivery and nonverbal communication. Practical application is provided   through a series of individual and group presentations in a variety of rhetorical modes."
22,284,ECT,Automation & Control Systems,Major,Complete,"This course focuses on process controls and automation that utilize hardware, such as micro-controllers and programmable logic controllers (PLCs). Optimization of automation applications is explored."
23,285,SEC,Fundamentals of Info Security,Major,Complete,"The course covers popular Cloud platforms, including AWS, Google Cloud Platform, and Microsoft Azure. Learners work with OpenStack in virtual machine activities to gain hands-on practice and troubleshooting skills, as well as use a secure, private Cloud sandbox environment. The course also reviews learning domains of the CompTIA Cloud+ Exam. "
24,295,CEIS,Data Structures & Algorithms,Major,Complete,"This course introduces structures that allow efficient organization and data retrieval, frequently used algorithms and basic techniques for modeling, as well as understanding and solving algorithmic problems. Arrays and linked lists; hash tables and associative arrays; sorting and selection; priority queues; sorted sequences; trees; graph representation; graph traversal; and graph algorithms are covered."
25,299,CEIS,Careers & Technology,Major,Complete,This course provides students with technical preparation required at the entry-level to be successful in a career field. Students may engage in activities related to various industry certification exam preparations under instructor supervision. This course is graded on a Satisfactory/Unsatisfactory basis.
26,310,CEIS,Process Improvement with Machine Learning,Major,Complete,"In this course, the two main processes of six sigma will be introduced - DMAIC (define, measure, analyze, improve, control) and DMADV (define, measure, analyze, design, verify). Students will learn how these principles are applied to improve existing processes and create new ones. Emphasis will be placed on DMAIC and statistical process, product control and machine learning for process improvement. General statistic principles will be reviewed and new topics addressing principles of statistical process control will be covered. Material covered represents competencies and proficiencies aligned to Lean Six Sigma Yellow Belt certification."
27,312,ECON,Principles of Economics,Core,Complete,"This course introduces basic concepts and issues in microeconomics, macroeconomics and international trade. Microeconomic concepts, such as supply and demand and the theory of the firm, serve as foundations for analyzing macroeconomic issues. Macroeconomic topics include gross domestic product (GDP), and fiscal and monetary policy, as well as international topics such as trade and exchange rates. The course stresses analyzing and applying economic variables of real-world issues. "
28,355,A CIS,Business App Programming,Major,Complete,"Building on analysis, programming and database skills developed in previous courses, this course introduces fundamental principles and concepts of developing programs that support typical business processing activities and needs such as transaction processing and report generation. Students develop business-oriented programs that deal with error handling, data validation and file handling. Java is the primary programming language used."
29,432,LAS,"Technology, Society & Culture",Major,Incomplete,"In this capstone course, the relationship between society and technology is investigated through reading, reflection, research and reports. The course identifies conditions that have promoted technological development and assesses the social, political, environmental, cultural and economic effects of current technology. Issues of control and ethical considerations in the use of technology are primary. Discussion and oral and written reports draw together students’ prior learning in specialty and general education courses."
30,205,CARD,Career Development & Strategies,Major,Incomplete,"Career planning strategies and resources are explored to prepare students for a successful job search and to maximize potential for advancement and long-term professional growth. Students perform self-assessment and goal-setting activities, and apply research and evaluation skills to execute job search and career advancement strategies. Each student assembles a professional portfolio highlighting achievements, goals and concrete plans."
31,405,CARD,Career Development,Major,Incomplete,"Career planning strategies and resources are explored to prepare students for a successful job search and to maximize potential for advancement and long-term professional growth. Students perform self-assessment and goal-setting activities, and apply research and evaluation skills to execute job search and career advancement strategies. Each student assembles a professional portfolio highlighting achievements, goals and concrete plans."
32,110,BIAM,Process Improvement with Machine Learning,Major,InProgress,"This course provides an overview of methods used by organizations to create, collect, and use data. Analytical methods and tools that transform data into information for improved business decision-making are also covered. Methods for basic statistical analysis, linear regression, optimization, and data visualization are introduced using spreadsheets and other analytics software."
33,312,CEIS,Intro to Artificial Intelligence & Machine Learning,Major,Incomplete,"This introductory programming course presents the basic elements of programming, including variables, expressions, conditionals, and functions, and then uses these elements to create simple interactive applications. Program specification design, documentation, and validation are also covered."
34,499,CEIS,Preparation for the Profession,Major,Incomplete,"Opportunities to prepare for desired professions in technology are explored. Students may engage in a variety of activities under instructor supervision including industry certification examination preparation, internships, co-ops, portfolio building, and/or applied projects. Students perform self-assessment and goal-setting activities to execute job search and career advancement strategies using knowledge gained in their respective areas of study."
35,404,MGMT,Project Management,Major,Incomplete,"This course provides an overview of fundamental project management concepts. Project charter, stakeholder engagement, scope, communications management, scheduling, resource allocation and risks are emphasized. Students complete project management documents enabling them to apply course concepts."
36,460,TCH,Senior Project,Major,Incomplete,"In this course, students integrate technical and soft skills necessary to develop requirements and design specifications to meet a proposed project, process and/or product goal. Students work in teams (or individually with approval) and apply problem-solving techniques, application design methodology, and planning/management methods to a technology-focused project."
37,200,CEIS,Software Engineering,Major,Incomplete,"This course applies tools that are typical of software engineering settings and explores requirements; design; testing; metrics; process improvement; quality assurance; software configuration management, maintenance, and release, as well as ethics."
38,320,CEIS,Intro to Mobile Device Programming,Major,Incomplete,"This course introduces mobile operating systems programming. Students explore the Android and iOS operating systems with the goal of creating an application for one of these systems. Topics include menu systems, user interfaces, 2D graphics and audio."
39,400,CEIS,Software Engineering II,Major,Incomplete,"This course emphasizes best practices in the implementation phase of the software development life cycle (SDLC). Application software engineering techniques are reinforced using UML/OOAD and project management skills covered in CEIS200 to an application-oriented team project based on a business scenario. The project provides real-world experience by integrating software engineering practices focusing on programming, testing and other implementation activities to deliver a product that meets approved specifications through lab assignments."
40,420,CEIS,Programming Languages & Advanced Techniques,Major,Incomplete,"Students focus on programming language concepts and design principles of programming paradigms (imperative, functional, object-oriented and logical). Topics include a history of programming languages, data types supported, control structures and run-time management of dynamic structures."
41,234,MATH,Discrete Math in Information Technology,Major,Complete,"This course provides an introduction to discrete mathematics as applied to the information technology field. Areas of application include computer logic, analysis of algorithms, telecommunications, probability and cryptography. Mathematical reasoning is emphasized throughout. Computer software is used in problem modeling and solutions."
